Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.017s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.022s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.023s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.029s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.028s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.034s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.075s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.031s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.048s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.024s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.025s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.094s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.032s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.006s,NOT_RUN
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 12:36:30,2018-10-15 12:36:30,0.005s,NOT_RUN
